,Crop,N,P,K,pH,soil_moisture
0,Rapeseed,80,40,40,5.5,30
3,Sunflower,80,40,20,5.5,50
5,Sesame,40,60,80,5.5,60
12,Castor,20,60,20,5.5,45
13,palm,20,60,20,5.5,45
14,Groundnut,20,40,20,5.5,30
15,Indian mustard,20,40,20,5.5,80
18,blackgram,40,60,20,5,60
24,lentil,20,60,20,5.5,90
60,pomegranate,20,10,40,5.5,30
61,banana,100,75,50,6.5,40
62,mango,20,20,30,5,15
63,grapes,20,125,200,4,60
66,watermelon,100,10,50,5.5,70
67,muskmelon,100,10,50,5.5,30
69,apple,20,125,200,6.5,50
74,orange,20,10,10,4,60
75,papaya,50,50,50,6,20
88,coconut,20,10,30,5,45
93,cotton,120,40,20,5.5,70
94,jute,80,40,40,5.5,20
95,coffee,100,20,30,5.5,20
